row_id,client_ip,datetime,method,request,status_code,size,user_agent,referer_present(YorN)
988,66.249.66.194,01/22/2019 03:56:54,GET,/product/20821/44932/D8AFD8B3D8AADAAFD8A7D987D8A8D8AED988D8B1D8B2DB8CDAA9D984D8A7D8B3D985D8AFD985D8AFD984D8A8D8AED988D8B1D8B3D8B1D8AFZYKC01,302,0.0,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",N
989,66.111.54.250,01/22/2019 04:56:46,POST,/image/978/mainSlideMobile,200,64.55,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
990,5.209.200.218,01/22/2019 03:56:59,GET,/image/180/brand,200,2.51,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G361H Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Y
991,2.179.141.98,01/22/2019 03:56:32,GET,/static/js/accordion.js?_=1548117035128,200,0.25,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",Y
992,207.46.13.104,01/22/2019 03:56:47,GET,/image/28874?name=hbr515xxxx.jpg&wh=max,200,9.46,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
993,66.249.66.195,01/22/2019 04:57:05,HEAD,/m/filter/b105b126b136b143b148b151b152b168b183b185b188b194b198b2b20b202b209b219b22b221b226b236b238b249b270b3b308b35b4b400b41b42b43b441b454b481b484b485b497b542b546b568b570b596b598b6b645b647b648b651b701b723b74b80b82b820b854b874b877b88b883b890b900b903b95b99,200,26.91,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",N
994,5.78.198.52,01/22/2019 03:56:29,POST,/m/updateVariation?__amp_source_origin=https3A2F2Fwww.zanbil.ir,200,0.17,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36",Y
995,173.249.54.67,01/22/2019 03:56:30,GET,/image/32745?name=ms50614.jpg&wh=200x200,200,3.81,Dalvik/2.1.0 (Linux; U; Android 8.0.0; PRA-LA1 Build/HONORPRA-LA1),N
996,178.253.33.52,01/22/2019 04:56:19,POST,/m/product/32574/62991/D985D8A7D8B4DB8CD986D8A7D8B5D984D8A7D8ADD8B5D988D8B1D8AAD9BED8B1D986D8B3D984DB8CD985D8AFD984PR465AT,200,19.93,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",Y
997,5.211.97.39,01/22/2019 03:56:57,GET,/image/11667/productModel/200x200,200,4.03,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
998,66.111.54.249,01/22/2019 03:56:45,GET,/image/1647/productModel/200x200,200,3.66,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
999,2.177.12.140,01/22/2019 03:56:26,GET,/image/33419/productType/120x90,200,5.22,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
1000,31.56.96.51,01/22/2019 03:57:00,GET,/image/60841/productModel/200x200,200,6.1,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
1001,5.211.97.39,01/22/2019 03:57:03,GET,/image/2079/productModel/200x200,200,5.42,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
1002,54.36.148.117,01/22/2019 03:57:05,GET,/filter/b153b180b612p8,200,34.16,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
1003,66.111.54.249,01/22/2019 03:56:45,GET,/image/99/brand,200,2.09,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
1004,5.211.97.41,01/22/2019 05:57:03,POST,/image/4576/productModel/200x200,200,4.82,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
1005,66.249.66.91,01/22/2019 03:56:50,GET,/filter/b4812Cb2262Cb5702Cb802Cb2702Cb9032Cb8832Cb992Cb1522Cb2492Cb202Cb7012Cb7232Cb422Cb1982Cb352Cb1832Cb2192Cb3082Cb1262Cb5232Cb9002Cb1882Cb7032Cb8902Cb1482Cb2362Cb2562Cb742Cb4002Cb2092Cb192Cb6512Cb2022Cb42Cb222Cb2382Cb62Cb5962Cb1432Cb8772Cb4852Cb2212Cb1942Cb1362Cb6472Cb4972Cb5462Cb1052Cb1852Cb952Cb5682Cb1512Cb882Cb5972Cb8202Cb1032Cb6132Cb8802Cb362Cb2122Cb5422Cb2132Cb186?page=10,200,41.11,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
1006,5.211.97.39,01/22/2019 03:57:05,GET,/image/4577/productModel/200x200,200,5.26,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
1007,54.36.148.10,01/22/2019 03:56:58,GET,/filter/p42stexistst51v1|D985D8B4DAA9DB8C20D8B3D981DB8CD8AF,200,31.43,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
1008,2.179.141.98,01/22/2019 03:56:45,POST,/ajaxFilter/p65b1?page=1,200,5.28,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",Y
1009,5.211.97.39,01/22/2019 03:56:56,GET,/image/4574/productModel/200x200,200,3.49,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
1010,40.77.167.129,01/22/2019 03:56:17,GET,/image/23488/productModel/150x150,200,2.59,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
1011,54.36.149.37,01/22/2019 05:56:47,HEAD,/filter/p10143stexistsv1|D985D8B4DAA9DB8C,200,28.97,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
1012,5.211.97.41,01/22/2019 05:56:57,HEAD,/image/30331/productModel/200x200,200,4.73,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
1013,66.249.66.195,01/22/2019 04:56:18,HEAD,/filter/b41b665c1507CD8A8D8AED8A7D8B1D9BED8B2p56,200,33.47,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
1014,66.249.66.194,01/22/2019 03:56:22,GET,/m/browse/gasheater/D8A8D8AED8A7D8B1DB8CDAAFD8A7D8B2DB8C,200,18.71,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",N
1015,91.99.72.16,01/22/2019 04:57:06,POST,/product/6021/6638/D981D8B4D8A7D8B1D8B3D986D8ACD8A8D8A7D8B2D988DB8CDB8CD8A7DB8CD8B2DB8CD984D8A7DB8CD981D985D8AFD984HS2000,200,40.38,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7(KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7",N
1016,66.111.54.249,01/22/2019 03:57:02,GET,/static/images/amp/blog.png,200,3.77,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
1017,31.56.96.51,01/22/2019 03:56:59,GET,/image/60862/productModel/200x200,200,4.13,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
1018,66.249.66.91,01/22/2019 03:57:04,GET,/filter/b2492Cb4822Cb6152Cb802Cb5982Cb2212Cb742Cb8802Cb412Cb1132Cb4542Cb432Cb4842Cb4422Cb5742Cb8742Cb6482Cb8202Cstexists2Cb1922Cb4002Cb1882Cb82Cb822Cb1832Cb9002Cb192Cb7952Cb5432Cb5232Cb5?page=31,200,39.36,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
1019,66.111.54.249,01/22/2019 03:56:51,GET,/image/31485/productModel/200x200,200,3.18,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
1020,66.249.64.66,01/22/2019 03:56:59,GET,/m/browse/washingmachine/D985D8A7D8B4DB8CD986D984D8A8D8A7D8B3D8B4D988DB8CDB8C,200,19.73,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",N
1021,31.56.96.52,01/22/2019 04:56:20,GET,/image/60847/productModel/200x200,200,5.53,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
1022,31.56.96.51,01/22/2019 03:57:02,GET,/image/61310/productModel/200x200,200,5.02,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
1023,207.46.13.115,01/22/2019 03:56:29,GET,/image/45443/productModel/150x150,200,2.82,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
1024,66.249.66.91,01/22/2019 03:56:27,GET,/filter/b6562Cb7032Cb672Cb2262Cb412Cb5982Cb1682Cb7232Cb5972Cb882Cb5482Cb62Cb6792Cb2152Cb1052Cb1942Cb742Cb5422Cb352Cb1132Cb8202Cb5742Cb4422Cb8802Cb6452Cb7242Cb1182Cb4822Cb4002Cb952Cb1352Cb2492Cb4352Cb2212Cb5232Cb8542Cb1262Cstexists2Cb2162Cb2172Cb1522Cb992Cb1882Cb2092Cb1922Cb2132Cb1362Cb2182Cb42Cb6482Cb4542Cb2582Cb2702Cb180?page=40,200,40.26,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
1025,2.185.221.79,01/22/2019 03:56:44,GET,/image/29128?name=7041.jpg&wh=200x200,200,3.14,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-E700H Build/LMY47X),N
1026,173.249.54.68,01/22/2019 04:56:51,POST,/image/34185?name=mfpm130a1.jpg&wh=200x200,200,5.27,Dalvik/2.1.0 (Linux; U; Android 8.0.0; PRA-LA1 Build/HONORPRA-LA1),N
1027,5.78.198.52,01/22/2019 03:56:50,GET,/image/52485/productModel/200x200,200,4.95,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36",Y
1028,66.249.66.194,01/22/2019 03:56:40,GET,/product/34024/64843/DB8CD8AEDA86D8A7D984D981D8B1DB8CD8B2D8B1D981D8B1DB8CD8B2D8B1D9BED8A7DB8CDB8CD986D8AFD988D988D985D8AFD984UltimoSRD2LW,200,42.51,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
1029,5.62.206.249,01/22/2019 03:56:40,GET,/image/34187?name=m12a1.jpg&wh=200x200,200,5.47,Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J710F Build/MMB29K),N
1030,5.211.97.39,01/22/2019 03:56:56,GET,/m/browse/meatgrinder/DA86D8B1D8AEDAAFD988D8B4D8AA,200,19.08,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
1031,51.15.15.54,01/22/2019 03:56:38,GET,/blog/tag/DAAFD8ACD8AA/,200,20.89,Barkrowler/0.9 (+http://www.exensa.com/crawl),N
1032,66.249.66.194,01/22/2019 03:57:06,GET,/filter/b2182Cp56662Cstexists,200,32.13,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
1033,91.99.72.15,01/22/2019 03:56:19,GET,/product/10075/13903/D985D8A7DB8CDAA9D8B1D988D981D8B1D8B1D988D985DB8CD8B2DB8CD8B3D8A7D985D8B3D988D986DAAFD985D8AFD984CE288,200,40.75,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36",N
1034,46.224.77.32,01/22/2019 03:57:09,GET,/image/32593?name=kachiranroz2102B.jpg&wh=200x200,200,4.38,Dalvik/1.6.0 (Linux; U; Android 4.2.2; HUAWEI G730-U10 Build/HuaweiG730-U10),N
1035,2.177.12.140,01/22/2019 03:56:22,GET,/image/64500/productModel/150x150,200,4.78,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
1036,2.177.12.140,01/22/2019 03:56:23,GET,/image/66/productType/120x90,200,10.59,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
1037,66.111.54.250,01/22/2019 04:56:45,HEAD,/image/1218/mainSlideMobile,200,66.53,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
1038,104.194.24.33,01/22/2019 03:57:07,GET,/amphelperframe.html?appId=a624a1c10c93466aa546e146710f97e6&parentOrigin=https://wwwzanbilir.cdn.ampproject.org,200,0.13,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G955F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36",Y
1039,66.111.54.249,01/22/2019 03:56:45,GET,/image/65321/productModel/200x200,200,3.7,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
1040,5.211.97.39,01/22/2019 03:56:57,GET,/image/63875/productModel/200x200,200,3.92,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
1041,66.111.54.249,01/22/2019 03:56:27,GET,/m/filter/b12Cp1?page=1,200,20.71,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
1042,31.56.96.51,01/22/2019 03:57:00,GET,/image/61306/productModel/200x200,200,4.84,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
1043,204.18.198.248,01/22/2019 03:56:59,GET,/image/60550/productModel/200x200,200,5.32,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",Y
1044,5.211.97.40,01/22/2019 04:56:31,GET,/amp_preconnect_polyfill_404_or_other_error_expected._Do_not_worry_about_it?1548117000000,404,0.0,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",Y
1045,66.249.66.194,01/22/2019 03:56:23,GET,/product/81900,404,31.52,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
1046,2.177.12.141,01/22/2019 04:56:22,POST,/image/64643/productModel/150x150,200,5.18,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
1047,66.249.66.195,01/22/2019 04:56:29,GET,/product/4057/47/78306,200,40.43,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),N
1048,66.111.54.249,01/22/2019 03:56:45,GET,/image/5/productTypeType,200,10.91,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
1049,40.77.167.130,01/22/2019 04:56:18,HEAD,/image/57710/productModel/100x100,200,1.66,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
1050,5.209.200.218,01/22/2019 03:56:59,GET,/favicon.ico,200,0.0,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G361H Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",Y
1051,66.249.66.195,01/22/2019 04:56:49,GET,/m/browse/electricshavers/D985D8A7D8B4DB8CD986D8A7D8B5D984D8A7D8AD,200,20.34,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",N
1052,2.177.12.140,01/22/2019 03:56:24,GET,/static/images/amp/telegram.png,200,4.75,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
1053,157.55.39.245,01/22/2019 03:56:54,GET,/blog/sports/gymandfitness/dbb7d8a7d8b4d8aad8a8d8a7d987d8b1d8a7db8cd8acd8afd8b1d8aad985d8b1db8cd986d8a7d8aad8a8d8afd986d8b3d8a7d8b2db8c/,200,25.04,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
1054,66.111.54.249,01/22/2019 03:56:45,GET,/image/56228/productModel/200x200,200,3.31,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
1055,54.36.148.17,01/22/2019 03:56:44,GET,/filter/p442Cv17CD8A2D984D8A8D8A7D984D988DB8CDB8C2Cv17CD8AED8A7DAA9D8B3D8AAD8B1DB8C.,200,32.33,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),N
1056,2.177.12.140,01/22/2019 03:56:36,GET,/image/62423/productModel/150x150,200,4.8,Mozilla/5.0 (Android 7.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,Y
1057,31.56.96.51,01/22/2019 03:56:16,GET,/image/60844/productModel/200x200,200,5.53,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
1058,207.46.13.136,01/22/2019 03:56:19,GET,/product/14926,404,32.83,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
1059,157.55.39.245,01/22/2019 03:56:51,GET,/filter/b1b103b105b111b122b130b212b552b68b718b98,200,37.16,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
1060,31.56.96.52,01/22/2019 04:56:32,HEAD,/static/images/amp/blog.png,200,3.77,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",Y
1061,66.111.54.251,01/22/2019 05:56:29,HEAD,/static/images/guarantees/goodShopping.png,200,6.34,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",Y
1062,207.46.13.115,01/22/2019 03:56:29,GET,/image/46131/productModel/100x100,200,1.93,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),N
